time,latitude,longitude,adjusted_temp,adjusted_temp_unc
2019-04-27 11:00:00,5.5,-75.5,17.1669979095459,1.7166998386383057
2019-04-27 12:00:00,5.5,-75.5,17.996984481811523,1.7996984720230103
2019-04-27 13:00:00,5.5,-75.5,19.626989364624023,1.9626989364624023
2019-04-27 14:00:00,5.5,-75.5,23.157018661499023,2.315701961517334
2019-04-27 15:00:00,5.5,-75.5,24.327001571655273,2.4327001571655273
2019-04-27 16:00:00,5.5,-75.5,25.147008895874023,2.5147008895874023
2019-04-27 17:00:00,5.5,-75.5,26.98700523376465,2.6987006664276123
2019-04-27 18:00:00,5.5,-75.5,26.626989364624023,2.662698984146118
2019-04-27 19:00:00,5.5,-75.5,26.23700523376465,2.6237006187438965
2019-04-27 20:00:00,5.5,-75.5,25.066991806030273,2.506699323654175
2019-04-27 21:00:00,5.5,-75.5,25.077001571655273,2.507700204849243
2019-04-27 22:00:00,5.5,-75.5,23.306982040405273,2.330698251724243
2019-04-27 23:00:00,5.5,-75.5,22.277013778686523,2.227701425552368
2019-04-28 00:00:00,5.5,-75.5,21.72699546813965,2.1726996898651123
2019-04-28 01:00:00,5.5,-75.5,21.587011337280273,2.158701181411743
2019-04-28 02:00:00,5.5,-75.5,20.9270076751709,2.092700719833374
2019-04-28 03:00:00,5.5,-75.5,20.686986923217773,2.0686986446380615
2019-04-28 04:00:00,5.5,-75.5,20.037023544311523,2.003702402114868
2019-04-28 05:00:00,5.5,-75.5,18.866979598999023,1.8866980075836182
2019-04-28 06:00:00,5.5,-75.5,18.087011337280273,1.8087011575698853
2019-04-28 07:00:00,5.5,-75.5,17.306982040405273,1.7306982278823853
2019-04-28 08:00:00,5.5,-75.5,16.527013778686523,1.6527013778686523
2019-04-28 09:00:00,5.5,-75.5,15.927007675170898,1.5927008390426636
2019-04-28 10:00:00,5.5,-75.5,16.647008895874023,1.6647008657455444
2019-04-28 11:00:00,5.5,-75.5,16.946996688842773,1.6946996450424194
2019-04-28 12:00:00,5.5,-75.5,18.1669979095459,1.8166998624801636
2019-04-28 13:00:00,5.5,-75.5,19.1669979095459,1.916699767112732
2019-04-28 14:00:00,5.5,-75.5,22.946996688842773,2.2946996688842773
